"created_at","city","domain","n"
2018-11-27,"berlin","traffic",4
2018-11-27,"berlin","train",54
2018-11-27,"frankfurt","traffic",1
2018-11-27,"frankfurt","train",1
2018-11-27,"hamburg","traffic",2
2018-11-27,"hamburg","train",8
2018-11-27,"koeln","traffic",1
2018-11-27,"koeln","train",17
2018-11-27,"muenchen","train",2
2018-11-28,"berlin","traffic",12
2018-11-28,"berlin","train",222
2018-11-28,"frankfurt","traffic",4
2018-11-28,"frankfurt","train",2
2018-11-28,"hamburg","traffic",3
2018-11-28,"hamburg","train",92
2018-11-28,"koeln","traffic",4
2018-11-28,"koeln","train",71
2018-11-28,"muenchen","traffic",1
2018-11-28,"muenchen","train",30
2018-11-29,"berlin","traffic",36
2018-11-29,"berlin","train",298
2018-11-29,"frankfurt","traffic",1
2018-11-29,"frankfurt","train",8
2018-11-29,"hamburg","traffic",1
2018-11-29,"hamburg","train",78
2018-11-29,"koeln","traffic",7
2018-11-29,"koeln","train",144
2018-11-29,"muenchen","traffic",2
2018-11-29,"muenchen","train",18
2018-11-30,"berlin","traffic",29
2018-11-30,"berlin","train",348
2018-11-30,"frankfurt","traffic",3
2018-11-30,"frankfurt","train",9
2018-11-30,"hamburg","traffic",2
2018-11-30,"hamburg","train",107
2018-11-30,"koeln","traffic",1
2018-11-30,"koeln","train",119
2018-11-30,"muenchen","train",16
2018-12-01,"berlin","traffic",12
2018-12-01,"berlin","train",279
2018-12-01,"frankfurt","traffic",2
2018-12-01,"frankfurt","train",4
2018-12-01,"hamburg","traffic",2
2018-12-01,"hamburg","train",49
2018-12-01,"koeln","traffic",3
2018-12-01,"koeln","train",62
2018-12-01,"muenchen","train",15
2018-12-02,"berlin","traffic",10
2018-12-02,"berlin","train",163
2018-12-02,"frankfurt","traffic",2
2018-12-02,"frankfurt","train",2
2018-12-02,"hamburg","train",94
2018-12-02,"koeln","train",41
2018-12-02,"muenchen","traffic",4
2018-12-02,"muenchen","train",11
2018-12-03,"berlin","traffic",34
2018-12-03,"berlin","train",354
2018-12-03,"frankfurt","traffic",2
2018-12-03,"frankfurt","train",13
2018-12-03,"hamburg","traffic",4
2018-12-03,"hamburg","train",68
2018-12-03,"koeln","traffic",5
2018-12-03,"koeln","train",178
2018-12-03,"muenchen","traffic",3
2018-12-03,"muenchen","train",30
2018-12-04,"berlin","traffic",25
2018-12-04,"berlin","train",294
2018-12-04,"frankfurt","traffic",4
2018-12-04,"frankfurt","train",6
2018-12-04,"hamburg","traffic",8
2018-12-04,"hamburg","train",106
2018-12-04,"koeln","traffic",5
2018-12-04,"koeln","train",113
2018-12-04,"muenchen","train",20
2018-12-05,"berlin","traffic",22
2018-12-05,"berlin","train",340
2018-12-05,"frankfurt","traffic",3
2018-12-05,"frankfurt","train",4
2018-12-05,"hamburg","traffic",8
2018-12-05,"hamburg","train",37
2018-12-05,"koeln","traffic",14
2018-12-05,"koeln","train",138
2018-12-05,"muenchen","traffic",1
2018-12-05,"muenchen","train",17
2018-12-06,"berlin","traffic",32
2018-12-06,"berlin","train",300
2018-12-06,"frankfurt","traffic",11
2018-12-06,"frankfurt","train",6
2018-12-06,"hamburg","traffic",4
2018-12-06,"hamburg","train",106
2018-12-06,"koeln","traffic",5
2018-12-06,"koeln","train",121
2018-12-06,"muenchen","traffic",2
2018-12-06,"muenchen","train",16
2018-12-07,"berlin","traffic",19
2018-12-07,"berlin","train",285
2018-12-07,"frankfurt","traffic",6
2018-12-07,"frankfurt","train",5
2018-12-07,"hamburg","traffic",1
2018-12-07,"hamburg","train",184
2018-12-07,"koeln","traffic",5
2018-12-07,"koeln","train",138
2018-12-07,"muenchen","traffic",2
2018-12-07,"muenchen","train",23
2018-12-08,"berlin","traffic",1
2018-12-08,"berlin","train",240
2018-12-08,"frankfurt","train",6
2018-12-08,"hamburg","traffic",1
2018-12-08,"hamburg","train",143
2018-12-08,"koeln","train",95
2018-12-08,"muenchen","traffic",2
2018-12-08,"muenchen","train",10
2018-12-09,"berlin","traffic",9
2018-12-09,"berlin","train",185
2018-12-09,"frankfurt","traffic",5
2018-12-09,"frankfurt","train",8
2018-12-09,"hamburg","traffic",1
2018-12-09,"hamburg","train",83
2018-12-09,"koeln","traffic",2
2018-12-09,"koeln","train",101
2018-12-09,"muenchen","traffic",5
2018-12-09,"muenchen","train",22
2018-12-10,"berlin","traffic",31
2018-12-10,"berlin","train",478
2018-12-10,"frankfurt","traffic",1
2018-12-10,"frankfurt","train",26
2018-12-10,"hamburg","traffic",5
2018-12-10,"hamburg","train",124
2018-12-10,"koeln","traffic",4
2018-12-10,"koeln","train",188
2018-12-10,"muenchen","traffic",6
2018-12-10,"muenchen","train",64
2018-12-11,"berlin","traffic",38
2018-12-11,"berlin","train",393
2018-12-11,"frankfurt","traffic",3
2018-12-11,"frankfurt","train",3
2018-12-11,"hamburg","train",21
2018-12-11,"koeln","traffic",1
2018-12-11,"koeln","train",150
2018-12-11,"muenchen","traffic",2
2018-12-11,"muenchen","train",26
2018-12-12,"berlin","traffic",29
2018-12-12,"berlin","train",302
2018-12-12,"frankfurt","traffic",2
2018-12-12,"frankfurt","train",3
2018-12-12,"hamburg","traffic",5
2018-12-12,"hamburg","train",23
2018-12-12,"koeln","traffic",11
2018-12-12,"koeln","train",176
2018-12-12,"muenchen","traffic",1
2018-12-12,"muenchen","train",17
2018-12-13,"berlin","traffic",35
2018-12-13,"berlin","train",339
2018-12-13,"frankfurt","traffic",3
2018-12-13,"frankfurt","train",10
2018-12-13,"hamburg","traffic",1
2018-12-13,"hamburg","train",53
2018-12-13,"koeln","traffic",5
2018-12-13,"koeln","train",144
2018-12-13,"muenchen","traffic",4
2018-12-13,"muenchen","train",12
2018-12-14,"berlin","traffic",17
2018-12-14,"berlin","train",290
2018-12-14,"frankfurt","traffic",5
2018-12-14,"frankfurt","train",9
2018-12-14,"hamburg","traffic",3
2018-12-14,"hamburg","train",18
2018-12-14,"koeln","traffic",2
2018-12-14,"koeln","train",158
2018-12-14,"muenchen","traffic",3
2018-12-14,"muenchen","train",19
2018-12-15,"berlin","traffic",9
2018-12-15,"berlin","train",207
2018-12-15,"frankfurt","train",3
2018-12-15,"hamburg","traffic",3
2018-12-15,"hamburg","train",17
2018-12-15,"koeln","traffic",1
2018-12-15,"koeln","train",70
2018-12-15,"muenchen","train",17
2018-12-16,"berlin","traffic",4
2018-12-16,"berlin","train",143
2018-12-16,"frankfurt","traffic",1
2018-12-16,"frankfurt","train",9
2018-12-16,"hamburg","traffic",4
2018-12-16,"hamburg","train",3
2018-12-16,"koeln","traffic",3
2018-12-16,"koeln","train",64
2018-12-16,"muenchen","traffic",1
2018-12-16,"muenchen","train",19
2018-12-17,"berlin","traffic",27
2018-12-17,"berlin","train",343
2018-12-17,"frankfurt","train",7
2018-12-17,"hamburg","traffic",3
2018-12-17,"hamburg","train",22
2018-12-17,"koeln","traffic",2
2018-12-17,"koeln","train",123
2018-12-17,"muenchen","traffic",3
2018-12-17,"muenchen","train",45
2018-12-18,"berlin","traffic",37
2018-12-18,"berlin","train",329
2018-12-18,"frankfurt","traffic",1
2018-12-18,"frankfurt","train",5
2018-12-18,"hamburg","traffic",6
2018-12-18,"hamburg","train",19
2018-12-18,"koeln","traffic",1
2018-12-18,"koeln","train",97
2018-12-18,"muenchen","traffic",2
2018-12-18,"muenchen","train",32
2018-12-19,"berlin","traffic",29
2018-12-19,"berlin","train",286
2018-12-19,"frankfurt","traffic",2
2018-12-19,"frankfurt","train",2
2018-12-19,"hamburg","traffic",3
2018-12-19,"hamburg","train",13
2018-12-19,"koeln","traffic",3
2018-12-19,"koeln","train",113
2018-12-19,"muenchen","traffic",2
2018-12-19,"muenchen","train",25
2018-12-20,"berlin","traffic",35
2018-12-20,"berlin","train",255
2018-12-20,"frankfurt","traffic",6
2018-12-20,"frankfurt","train",7
2018-12-20,"hamburg","traffic",6
2018-12-20,"hamburg","train",37
2018-12-20,"koeln","traffic",2
2018-12-20,"koeln","train",117
2018-12-20,"muenchen","traffic",5
2018-12-20,"muenchen","train",41
2018-12-21,"berlin","traffic",23
2018-12-21,"berlin","train",252
2018-12-21,"frankfurt","traffic",6
2018-12-21,"frankfurt","train",13
2018-12-21,"hamburg","traffic",6
2018-12-21,"hamburg","train",45
2018-12-21,"koeln","traffic",3
2018-12-21,"koeln","train",169
2018-12-21,"muenchen","traffic",1
2018-12-21,"muenchen","train",11
2018-12-22,"berlin","traffic",3
2018-12-22,"berlin","train",190
2018-12-22,"frankfurt","train",11
2018-12-22,"hamburg","traffic",2
2018-12-22,"hamburg","train",37
2018-12-22,"koeln","traffic",4
2018-12-22,"koeln","train",97
2018-12-22,"muenchen","traffic",1
2018-12-22,"muenchen","train",18
2018-12-23,"berlin","traffic",2
2018-12-23,"berlin","train",129
2018-12-23,"frankfurt","traffic",16
2018-12-23,"frankfurt","train",5
2018-12-23,"hamburg","train",13
2018-12-23,"koeln","train",119
2018-12-23,"muenchen","train",9
2018-12-24,"berlin","traffic",20
2018-12-24,"berlin","train",139
2018-12-24,"frankfurt","traffic",2
2018-12-24,"frankfurt","train",5
2018-12-24,"hamburg","traffic",1
2018-12-24,"hamburg","train",81
2018-12-24,"koeln","train",19
2018-12-24,"muenchen","traffic",4
2018-12-24,"muenchen","train",20
2018-12-25,"berlin","traffic",4
2018-12-25,"berlin","train",113
2018-12-25,"frankfurt","train",2
2018-12-25,"hamburg","traffic",1
2018-12-25,"hamburg","train",61
2018-12-25,"koeln","train",17
2018-12-25,"muenchen","traffic",1
2018-12-25,"muenchen","train",12
2018-12-26,"berlin","traffic",7
2018-12-26,"berlin","train",106
2018-12-26,"frankfurt","traffic",3
2018-12-26,"frankfurt","train",2
2018-12-26,"hamburg","train",59
2018-12-26,"koeln","traffic",7
2018-12-26,"koeln","train",32
2018-12-26,"muenchen","traffic",3
2018-12-26,"muenchen","train",40
2018-12-27,"berlin","traffic",22
2018-12-27,"berlin","train",181
2018-12-27,"frankfurt","traffic",1
2018-12-27,"frankfurt","train",10
2018-12-27,"hamburg","traffic",2
2018-12-27,"hamburg","train",76
2018-12-27,"koeln","traffic",10
2018-12-27,"koeln","train",74
2018-12-27,"muenchen","traffic",4
2018-12-27,"muenchen","train",23
2018-12-28,"berlin","traffic",27
2018-12-28,"berlin","train",166
2018-12-28,"frankfurt","train",11
2018-12-28,"hamburg","traffic",6
2018-12-28,"hamburg","train",45
2018-12-28,"koeln","traffic",1
2018-12-28,"koeln","train",116
2018-12-28,"muenchen","traffic",1
2018-12-28,"muenchen","train",20
2018-12-29,"berlin","traffic",36
2018-12-29,"berlin","train",143
2018-12-29,"frankfurt","traffic",10
2018-12-29,"frankfurt","train",1
2018-12-29,"hamburg","train",20
2018-12-29,"koeln","traffic",1
2018-12-29,"koeln","train",49
2018-12-29,"muenchen","train",13
2018-12-30,"berlin","traffic",7
2018-12-30,"berlin","train",151
2018-12-30,"frankfurt","traffic",1
2018-12-30,"frankfurt","train",4
2018-12-30,"hamburg","traffic",9
2018-12-30,"hamburg","train",22
2018-12-30,"koeln","train",60
2018-12-30,"muenchen","train",2
2018-12-31,"berlin","traffic",9
2018-12-31,"berlin","train",157
2018-12-31,"frankfurt","traffic",1
2018-12-31,"frankfurt","train",7
2018-12-31,"hamburg","traffic",5
2018-12-31,"hamburg","train",16
2018-12-31,"koeln","traffic",2
2018-12-31,"koeln","train",45
2018-12-31,"muenchen","train",15
2019-01-01,"berlin","traffic",24
2019-01-01,"berlin","train",156
2019-01-01,"frankfurt","traffic",1
2019-01-01,"frankfurt","train",5
2019-01-01,"hamburg","traffic",22
2019-01-01,"hamburg","train",50
2019-01-01,"koeln","traffic",1
2019-01-01,"koeln","train",35
2019-01-01,"muenchen","traffic",1
2019-01-02,"berlin","traffic",17
2019-01-02,"berlin","train",152
2019-01-02,"frankfurt","traffic",8
2019-01-02,"frankfurt","train",6
2019-01-02,"hamburg","traffic",6
2019-01-02,"hamburg","train",77
2019-01-02,"koeln","traffic",2
2019-01-02,"koeln","train",82
2019-01-02,"muenchen","traffic",2
2019-01-02,"muenchen","train",29
2019-01-03,"berlin","traffic",15
2019-01-03,"berlin","train",196
2019-01-03,"frankfurt","traffic",2
2019-01-03,"frankfurt","train",8
2019-01-03,"hamburg","train",67
2019-01-03,"koeln","traffic",10
2019-01-03,"koeln","train",54
2019-01-03,"muenchen","traffic",3
2019-01-03,"muenchen","train",19
2019-01-04,"berlin","traffic",15
2019-01-04,"berlin","train",182
2019-01-04,"frankfurt","traffic",3
2019-01-04,"frankfurt","train",4
2019-01-04,"hamburg","traffic",4
2019-01-04,"hamburg","train",65
2019-01-04,"koeln","traffic",3
2019-01-04,"koeln","train",67
2019-01-04,"muenchen","traffic",3
2019-01-04,"muenchen","train",24
2019-01-05,"berlin","traffic",3
2019-01-05,"berlin","train",141
2019-01-05,"frankfurt","train",1
2019-01-05,"hamburg","traffic",1
2019-01-05,"hamburg","train",27
2019-01-05,"koeln","traffic",4
2019-01-05,"koeln","train",58
2019-01-05,"muenchen","traffic",7
2019-01-05,"muenchen","train",33
2019-01-06,"berlin","traffic",4
2019-01-06,"berlin","train",99
2019-01-06,"frankfurt","traffic",3
2019-01-06,"frankfurt","train",3
2019-01-06,"hamburg","traffic",1
2019-01-06,"hamburg","train",16
2019-01-06,"koeln","traffic",1
2019-01-06,"koeln","train",91
2019-01-06,"muenchen","traffic",3
2019-01-06,"muenchen","train",43
2019-01-07,"berlin","traffic",38
2019-01-07,"berlin","train",261
2019-01-07,"frankfurt","traffic",2
2019-01-07,"frankfurt","train",15
2019-01-07,"hamburg","traffic",6
2019-01-07,"hamburg","train",15
2019-01-07,"koeln","traffic",4
2019-01-07,"koeln","train",118
2019-01-07,"muenchen","traffic",1
2019-01-07,"muenchen","train",84
2019-01-08,"berlin","traffic",55
2019-01-08,"berlin","train",291
2019-01-08,"frankfurt","traffic",1
2019-01-08,"frankfurt","train",5
2019-01-08,"hamburg","traffic",4
2019-01-08,"hamburg","train",44
2019-01-08,"koeln","traffic",9
2019-01-08,"koeln","train",95
2019-01-08,"muenchen","traffic",3
2019-01-08,"muenchen","train",72
2019-01-09,"berlin","traffic",41
2019-01-09,"berlin","train",272
2019-01-09,"frankfurt","traffic",2
2019-01-09,"frankfurt","train",6
2019-01-09,"hamburg","traffic",6
2019-01-09,"hamburg","train",28
2019-01-09,"koeln","traffic",6
2019-01-09,"koeln","train",66
2019-01-09,"muenchen","traffic",9
2019-01-09,"muenchen","train",92
2019-01-10,"berlin","traffic",29
2019-01-10,"berlin","train",246
2019-01-10,"frankfurt","traffic",2
2019-01-10,"frankfurt","train",13
2019-01-10,"hamburg","traffic",6
2019-01-10,"hamburg","train",80
2019-01-10,"koeln","traffic",6
2019-01-10,"koeln","train",97
2019-01-10,"muenchen","traffic",7
2019-01-10,"muenchen","train",34
2019-01-11,"berlin","traffic",42
2019-01-11,"berlin","train",237
2019-01-11,"frankfurt","traffic",1
2019-01-11,"frankfurt","train",12
2019-01-11,"hamburg","traffic",5
2019-01-11,"hamburg","train",40
2019-01-11,"koeln","traffic",2
2019-01-11,"koeln","train",101
2019-01-11,"muenchen","traffic",2
2019-01-11,"muenchen","train",29
2019-01-12,"berlin","traffic",4
2019-01-12,"berlin","train",141
2019-01-12,"frankfurt","traffic",2
2019-01-12,"frankfurt","train",6
2019-01-12,"hamburg","train",54
2019-01-12,"koeln","traffic",3
2019-01-12,"koeln","train",75
2019-01-12,"muenchen","train",64
2019-01-13,"berlin","traffic",11
2019-01-13,"berlin","train",101
2019-01-13,"frankfurt","traffic",1
2019-01-13,"frankfurt","train",5
2019-01-13,"hamburg","train",16
2019-01-13,"koeln","traffic",4
2019-01-13,"koeln","train",103
2019-01-13,"muenchen","traffic",1
2019-01-13,"muenchen","train",60
2019-01-14,"berlin","traffic",33
2019-01-14,"berlin","train",228
2019-01-14,"frankfurt","traffic",2
2019-01-14,"frankfurt","train",12
2019-01-14,"hamburg","traffic",1
2019-01-14,"hamburg","train",57
2019-01-14,"koeln","traffic",1
2019-01-14,"koeln","train",91
2019-01-14,"muenchen","traffic",3
2019-01-14,"muenchen","train",18
